loco.ordinal,loco.onset,loco.offset,loco.code01,cell length
0,0,20185,s,20185
1,20186,87187,m,67001
2,87188,104323,s,17135
3,104324,107821,m,3497
4,107822,259663,s,151841
5,259664,267171,m,7507
6,267172,286562,s,19390
7,286563,288279,m,1716
8,288280,312922,s,24642
9,312923,319950,m,7027
10,319951,360001,s,40050
11,360002,370312,m,10310
12,370313,397199,s,26886
13,397200,459972,m,62772
14,459973,481008,s,21035
15,481009,539423,m,58414
16,539424,565625,s,26201
17,565626,574093,m,8467
18,574094,575676,s,1582
19,575677,586737,m,11060
20,586738,622938,s,36200
21,622939,680541,m,57602
22,680542,689494,s,8952
23,689495,716728,m,27233
24,716729,809432,s,92703
25,809433,828489,m,19056
26,828490,832196,s,3706
27,832197,882163,m,49966
28,882164,920760,s,38596
29,920761,923173,m,2412
30,923174,940010,s,16836
31,940011,968260,m,28249
32,968261,976289,s,8028
33,976290,981965,m,5675
34,981966,984666,s,2700
35,984667,1030911,m,46244
36,1030912,1037666,s,6754
37,1037667,1119390,m,81723
38,1119391,1160307,s,40916
39,1160308,1178253,m,17945
40,1178254,1189063,s,10809
41,1189064,1190973,m,1909
42,1190974,1265196,s,74222
43,1265197,1280781,m,15584
44,1280782,1303908,s,23126
45,1303909,1309963,m,6054
46,1309964,1362704,s,52740
47,1362705,1381214,m,18509
48,1381215,1383855,s,2640
49,1383856,1395632,m,11776
