loco.ordinal,loco.onset,loco.offset,loco.locomotion,
0,0,11525,"_",
1,11526,187201,"s",
2,187202,193742,"m",
3,193743,678057,"s",
4,678058,692511,"m",
5,692512,883569,"s",
6,883570,895447,"m",
7,896630,938114,"s",
8,938115,940929,"m",
9,940930,954134,"s",
10,954135,965505,"m",
11,965506,975854,"s",
12,976318,996807,"m",
13,996808,1055972,"s",
14,1055972,1060391,"m",
15,1060392,1069877,"s",
16,1069878,1087897,"m",
17,1087898,1102374,"s",
18,1102375,1111323,"m",
19,1111324,1267826,"s",
20,1267826,1295842,"_",
